Life expectancy,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,Total expenditure,Population,Schooling
74,1,9.54,96.33237912,93,2,55.8,1.5,735222,13.5
75.4,0,1.78,6.491488598,98,20,19.5,6.64,349,11.9
66.8,196,0.01,35.48458957,5,4067,11.6,2.51,139191,7.9
52,521,8.9,133.1230872,49,8491,22.2,3.47,158578261,9.5
77.7,0,13.33,2813.985285,94,7,54.1,9.98,15333,15.4
65.8,0,0.71,4.24926073,81,0,37.9,4.56,41269,7.2
66.4,40,0.01,45.33788677,88,122,22.9,2.28,51924182,9.1
67.3,185,0.01,4.11469667,11,9743,12,2.62,14137489,8.1
73,0,15.04,1968.816817,93,35,61.4,6.59,2957689,16.4
45.1,40,1.11,58.13583343,89,1116,15.5,7.82,1267638,10
81.6,2,7.25,5243.316638,96,351,6.5,9.41,5995365,16.3
64.5,6,2.4,34.23979419,96,0,42.7,1.93,4935762,10.5
55.6,51,6.19,83.18071241,82,504,26.6,3.96,252447,10
65.6,6,2.35,37.88466056,97,0,43.4,1.88,5795,10.5
57.1,51,0.11,5.665405066,71,801,16.9,6.98,15813913,4.2
66.2,2,0.06,36.69198927,79,0,14.7,0.74,17811,11.7
57.8,52,0.01,46.56231672,73,290,23.2,6.86,16962846,8.2
71,4,8.44,52.42529588,46,0,6.1,7.67,454896,15.2
74.9,9,5.14,885.9858185,95,0,53.6,5.18,3158966,13.4
71.6,0,11.29,80.99710054,95,1,57.8,6.46,3415213,15.8
63.5,6,2.86,186.1013972,96,1,4,4.3,473398,10.3
81.7,0,7.4,10947.02327,53,30,58.1,11.8,9519374,15.8
74.8,1,1.32,140.3771361,81,112,65.4,6.39,563279,13.3
86,1,9.84,588.568371,95,70,6.9,8.57,21274,20.7
68.7,0,6.2,325.6807462,97,0,43.2,4.39,27689,12.5
75,111,7.26,179.4777293,94,36,43.7,7.3,175287587,14.1
75.3,0,6.56,635.4849381,9,5,59.1,6.9,619428,15
82.3,2,7.35,483.1916844,96,0,62.6,9.22,6233948,16.5
74.6,0,6.17,709.1311228,93,0,57.8,6.13,616969,14.2
75.4,21,0.01,54.2373183,95,0,58.4,7.21,39113313,14.4
73.2,3,5.65,359.9760397,89,0,46.4,9.1,629877,12.4
46.7,2,5.48,306.9527349,87,1,3.5,5.73,1754935,11.8
46,3,5.08,372.1651473,95,0,27.8,6.8,115873,9.7
63.3,7,2.33,130.3784829,96,11,38.7,3.34,4612,10.2
67.6,0,0.85,28.90135229,9,0,43.8,6.42,49294,9
74.5,3,2.31,191.7267589,99,79,19.8,3.43,2119,13.5
73.8,3,0.47,438.4519214,97,334,33.4,3.47,2711169,12.5
67.3,1100,3.1,64.96964491,73,18668,17,4.39,126365852,11.3
74.8,3,1.29,623.2120325,98,11,57.4,7.15,1761467,14.5
73.8,20,0.44,320.3239241,9,0,5.8,3.82,34376,12.3
74.5,9,6.5,788.6873403,99,2641,31.3,4,6814365,13.6
88,0,7.53,2163.043414,96,1,66,8.8,1892413,17.2
52.1,4,0.01,162.1278115,93,0,32,1.62,2145785,10.8
79.3,0,9.95,2785.139364,93,122,6.5,9.36,1987314,15.6
63.5,66,0.44,4.15451614,39,1329,15.7,1.97,487377,7.8
74.4,1,9.65,774.4396617,89,20,57,1.9,7291436,13.6
72.1,0,7.91,12.94324581,99,0,29.2,4.17,82475,12.3
65.1,1,7.84,1.776181042,91,0,38.4,5.73,751652,11.2
52,59,0.54,6.660451777,79,232,17,6.25,125128,5.2
67.4,1,0.17,27.48907048,93,6,19.5,6.3,714458,10.9
69.1,17,0.01,19.1624696,99,0,43,6.32,32432,12
69.6,0,0.85,334.1673373,63,0,44.1,4.12,24143,10.7
79.4,2,9.86,2044.169761,83,0,58.2,7.24,485412,15.7
78,0,6.7,1486.236406,92,0,44,5.78,1341588,12.6
61.7,1,0.14,8.574029812,89,756,14.4,5.91,5896,7.6
72.6,0,1.1,569.6255035,84,0,71.5,5.13,135,14.5
67.8,7,6.83,11.1516268,99,4,49.2,4.42,16321581,14.5
71.1,18,5.88,0.27564826,95,4074,18.7,3.4,6295821,10.9
56.2,23,4.05,2.030494673,94,305,15.7,6.96,848931,8.6
72.4,0,1.79,503.5881956,89,0,7.1,5.61,11689,14.6
74.9,1,9.38,742.5109709,97,0,58.3,9.89,719977,14
49.8,87,2.16,40.82597077,76,7155,17.3,6.45,19139658,6.2
76.1,0,4.75,645.021302,9,22,52.6,9.64,3746561,13.3
68.7,0,0.01,188.7373664,97,1,21.9,3.7,752967,12.3
67.6,6,4.89,115.738974,48,7587,55.4,6.25,48225,13.9
64,2,1.75,73.24150483,98,0,41.3,5.99,2496832,11.2
56.8,54,0.61,101.8113996,66,24,21.3,6.59,1554989,7.5
72.8,16,4.26,42.17956418,89,0,49.8,5.37,42724163,11.3
53.2,72,1.48,0.796915785,75,4,19.7,4.91,22846758,8.8
52.6,3,4.9,47.6164523,88,26,29.3,8.46,118675,10.8
88,0,11.5,17028.52798,95,6,59.6,7.34,518347,13.9
79.8,0,10.05,671.9376566,97,33,61.6,1.39,1796493,15.8
89,3,11.9,7002.785925,47,604,59.1,1.57,6437499,16.1
77,0,3.82,155.2072669,4,0,22.6,5.17,45216,11.3
77.2,0,4.03,732.8662491,89,3000,55.3,9.57,35662,14.2
69.2,0,0.01,401.7931045,99,0,59.5,4.6,86786,14.7
73.4,3,5.79,472.1932825,89,0,47.1,9.42,6293783,12.3
51.1,4,2.71,154.8705998,93,2488,29.7,1.87,24551,10.9
59.4,7,1.07,5.064688968,96,19,13.9,2.97,39697,5.4
62.8,22,0.28,1.08833088,88,6,2.8,4.94,1223957,7.1
54.1,70,1.82,39.55677502,76,153,16.4,4.36,3648288,9.6
76.8,1,6.87,1092.155356,85,0,53.4,7.56,3579385,12.8
65.2,1,7.04,170.6325842,93,0,39.6,4.67,74961,11.7
78,41,1.49,256.4341746,77,30509,54.3,5.16,64191474,11.1
62.3,2,8.85,145.318282,67,1,33.5,3.41,16421,12.5
63.8,2,2.43,55.60878216,98,1205,39.8,5.81,2443659,10.1
89,0,12.6,7163.348923,98,70,63.4,1.59,112957,16.3
73.8,8,0.83,17.98136184,83,403,49.4,3.72,1963286,11.5
73.8,0,0.01,660.2777923,56,0,74.3,7.22,19229,12.9
74.3,1,12.03,153.1400362,95,0,65.1,8.44,7223938,14.8
66.6,8,7.6,708.3285785,99,20,47.9,3.65,15674,14.6
73.9,332,2.92,171.6596026,84,124219,24.1,4.66,13372,10.6
66.2,42,0.7,38.33793462,75,1010,22.1,2.16,51448196,9.1
67.5,6,4.49,7.883791474,4,817,54.8,5.59,49175848,13.3
75.4,0,6.56,666.7374371,91,5,59.7,6.92,6279,15.1
71.8,0,1.95,4.299053392,98,926,16.2,5.78,297,12
73,5,3.16,222.4823338,93,0,44.3,7.89,777972,10.9
73.1,2,10.4,14.96373588,95,8,56.3,5.56,2367487,15.4
62,9,3.72,60.44658161,77,279,25,11.23,47167,9.5
71.1,0,13.3,1888.149904,96,1,59.3,6.61,3198231,16.5
73.5,25,1.39,22.67271848,92,0,6.2,6.7,74432,12.5
61.7,8,0.01,11.14504291,64,322,26.8,3.79,356288,7.1
74.9,11,7.53,96.16653429,88,0,56.9,6.85,39145488,16.3
68.1,55,4.61,24.58973399,89,2920,24.3,4.56,9848132,11.7
68.9,20,0.26,80.58788376,9,3362,17.4,5.89,27649925,12.3
74.8,2,0.01,1.576409172,94,59,59.9,5.57,1998979,14.7
71.7,7,0.76,0,66,13,53.2,3.23,2863993,12
49.6,78,7.8,191.6537407,77,1190,2.4,3.39,23369131,9
73.9,2,3.58,366.4841804,98,0,52.4,8.43,5945747,11.5
74.1,11,7.62,57.58467352,73,0,55.7,8.22,3839379,16.4
89,2,11.03,941.7562909,88,443,61.9,11.3,89825,17
82,1,9.35,4255.781693,96,1204,64.8,9.39,4677355,17.2
63.2,69,0.4,3.824212472,8,830,15.2,1.97,47624894,7.7
65.9,31,0.14,146.7606488,56,230,53.8,3.69,2839433,10.2
78.4,3,12.25,437.1059663,87,4657,56.1,1.4,82488495,16.3
68,59,4.42,159.5348489,85,1469,22.1,4.41,9222879,11.7
73.2,0,0.01,584.9449886,82,0,74.3,4.98,15328,14.3
72.5,5,0.01,306.1824313,94,0,51.5,6.4,953579,12.2
79.9,1,9.84,46.3871819,95,32,59.6,8.39,196514,20.1
75.3,1,9.16,880.6403367,91,1,58.9,1.12,7164132,14.1
72.3,0,5.28,345.463714,96,0,25.5,4.3,486438,11.9
72.2,0,6.33,701.8526364,99,0,31.8,2.64,86956,13.2
65.6,47,0.33,21.23698847,4,2046,2.5,1.87,555331,9.1
74.5,3,3.03,20.83302367,99,60,2.5,3.28,2271,13.6
79.3,1,2.47,1701.195787,98,2,59.2,7.49,657,15.3
72.8,0,15.52,153.5045263,95,2,55.5,5.2,1354775,15.9
76,0,12.06,2425.403891,97,51,59.4,7.7,443458,14.3
73.8,1,9.3,772.8700353,99,201,55.1,1.2,7381579,13.5
57,87,0.02,15.29606643,67,466,13.8,8.79,24118979,6.8
68.5,7,6.63,179.170133,99,127,49.9,4.6,165566,14.4
68.6,154,0.01,46.36536703,95,2924,13.5,2.8,147139191,8.6
73,13,10.12,1340.553699,97,4711,59.9,7.7,143819666,14.9
69.9,5,6.29,24.44473709,95,321,52.3,4.36,17289224,15
78,0,13.45,276.0999798,94,5,53.3,9.84,1483861,15.9
48.7,84,7.07,249.9101958,69,265,19.3,3.84,2175942,8.1
61.4,6,0.63,1.575160196,92,82,15.5,3.3,431334,5.2
81,0,12.5,7453.8644,85,20,53.7,1.4,8295487,15.2
66.8,0,1.18,16.83170578,79,0,4.4,6,446769,8
78.2,0,10.16,100.8086193,89,0,53.3,5.78,96282,12.4
73.1,15,4.38,531.9808176,93,0,5.5,5.82,43285634,11.1
71.6,1,10.72,25.06262895,93,8,57.5,7.23,89142,12.9
48.8,112,10.42,2.690897842,29,49871,13.6,7.78,2571848,11
73.4,9,4.13,14.5887403,69,2,44.3,3.86,12852755,12.4
58.4,25,1.16,71.01399249,79,1461,22.5,4.46,894476,9.3
64.8,20,10.87,266.5416917,81,580,54.5,5.99,1453646,12.8
69.8,0,4.94,815.4355995,84,0,53.3,5.92,515148,11.9
63.5,21,0.3,1.177477677,86,999,21.2,4.81,1255917,7.5
61.3,23,0.34,10.43022617,89,3,19.9,5.44,11556763,6.6
73,1,9.6,503.1115947,65,2,53.9,8.7,744769,13.2
73,1,7.42,462.7076756,89,11,53.3,8.24,7463157,13.1
68.4,1,0.01,281.0023992,99,0,51.5,4.73,2923896,14.8
81.7,1,2.63,409.4109292,97,23,63,7.36,76236,15.7
69.2,0,5.12,72.03911741,5,0,35.2,5,1277837,11.9
66,365,0.04,60.18648815,72,8749,23.9,2.7,181712595,7.7
71.2,38,1.47,35.55729,72,7823,55.1,5.36,6514354,11.5
79.1,0,9.46,2124.921517,92,0,59.2,8.61,19287,15.2
73.3,0,2.95,0.108055973,99,12,3.7,5.29,1254,14
56.1,45,4.5,107.7988339,93,395,15.6,6.77,14689726,5.4
59.3,41,0.9,47.5262138,51,10795,14.7,5.29,16765117,8.3
72.1,15,4.5,34.70333523,65,0,47.4,4.6,26937738,13.3
83,0,10.08,664.4738975,98,109,62.6,1.54,11128246,16.2
88,0,12.04,8272.306757,89,68,55.7,1.94,8391643,15.7
54.3,66,0.94,40.80617976,76,177,2.9,6.23,249395,9.5
58.2,50,0.12,5.883760536,7,372,17.3,6.36,16425578,4.5
77.2,1,6.95,201.7490628,85,0,55.6,7.25,3772938,12.8
76,12,2.14,445.4423371,92,0,46.5,6.79,1431628,10.4
75.7,9,8.11,1504.329462,91,3,6.4,5.89,41656879,17.1
78,0,12.12,170.9884138,91,0,57.7,7.1,22325,16.2
74.3,0,1.47,620.9518909,98,1395,18,9.52,321,12.1
79,1,3.41,2429.854745,84,0,56.5,9.73,46474,13.4
52.6,46,0.01,11.3020668,37,1275,18.7,3.62,13569438,7.3
69.4,0,0.01,431.4854874,99,0,6.2,4.16,873596,14.9
81.2,0,10.75,746.3670453,95,33,62.1,7.78,4617225,18.6
71,4,3.81,36.81621175,79,0,45.7,6.13,53973,11
76,8,8.28,1001.796332,94,0,61.6,4.99,42539925,17.3
69,37,0.72,33.74786198,81,0,15.8,5.3,18336724,8.9
72.7,1,3.36,70.54185252,48,216,47.5,8.49,431,11.8
73.5,360,3.04,1.58668462,79,70549,23.4,4.72,129675,10.2
86,0,7.46,2183.106986,98,3,65.4,9.26,1965211,17.1
76.6,0,5.37,437.0621,99,28,55.1,5.71,295195,13.3
78.7,0,11.41,1562.520827,88,1,55.3,6.37,127658,13.5
81.7,1,0.01,1491.703605,92,140,61.6,1.9,168658,18.1
82.5,2,7.56,4831.644796,95,0,63.1,9.25,678914,16.3
69.3,0,5.53,78.72216127,76,0,36,5.13,128452,12
80,0,11.53,18961.3486,94,1,58.4,7.34,48865,13.5
62.1,59,1.81,154.2269697,94,0,2.1,5.49,43646629,11.1
80,0,10.22,665.7356115,97,40,61.9,1.17,1895586,15.9
51,109,10.16,4.426792406,44,29429,13.9,7.54,2662482,11.5
54.9,54,7.04,346.5316007,72,1043,41.6,8.9,45855482.88,12.9
65,16,2.08,57.73516711,82,394,14.8,3.75,13676693,10.3
73,6,1.02,176.0107106,62,0,45.9,5.1,85813,11.6
73.9,1,7.17,151.762567,89,56,5.5,8.99,43,13.1
71,0,6.71,167.2657906,92,0,45,5.98,1348248,12.7
79.5,0,10.47,7191.051507,98,98,61.3,9.6,179973,15.8
85,2,11.2,869.790735,88,1607,6.4,1.93,8274983,16.8
74.5,3,2.8,20.76877311,99,51,21.2,3.21,2425,13.7
62.9,1,0.01,61.57443584,88,0,23.2,6.51,7415,10.9
73.5,9,0.92,116.2585943,83,375,47.6,4.11,18294611,11
76.6,0,6.67,1871.736563,95,0,6.7,8.78,3362755,15.5
67.9,0,1.85,206.071686,99,304,52.2,3.48,815691,13.3
56.2,14,1.33,69.35924758,24,187,2.4,5.73,6161796,10.1
78,0,1.98,41.30688803,98,0,15.6,5.84,292,11.8
79.2,3,11.67,6012.92584,9,778,57.6,1.52,82469422,16.4
76,6,3.82,79.11626341,83,0,53.5,9.16,1593112,14
77,0,4.12,75.61062911,91,0,54.7,9.46,364999,14.2
81.2,2,8.4,8649.674911,56,99,64.1,11.2,345274,15.9
79.4,0,9.67,3632.243121,95,2,61.8,9.41,1148473,16.4
75.3,2,10.9,14.3042452,98,40,56.6,6.28,381256,15
66.8,31,0.18,59.18845152,65,908,52.5,4.13,278426,10.1
73.9,5,1.69,72.4280894,32,65,15.6,3.95,1983,12.7
85,0,11.49,6616.695125,95,107,6.5,8.32,4586897,18.5
68.1,56,5.02,212.7418488,88,1536,23.7,4.46,96866642,11.6
71,0,7.13,291.0170765,95,0,55.4,6,236755,13.7
73.2,3,3.36,292.753101,98,0,49.4,6.82,5666581,11.3
49.9,16,0.01,52.37766601,23,596,21.6,3.82,4499653,7.1
79,1,8.09,160.8897265,91,5,58.6,8.72,19222,14.6
58.4,4,0.01,50.06053544,87,1,25.6,5.59,1725744,9.2
69.3,10,0.01,1.0419164,96,1,39,6.75,817789,11.2
79.9,2,9.3,3519.258515,95,10982,57,8.17,5731323,15.4
73.9,18,0.45,179.8598949,99,92,56.5,5.94,33824769,12.1
55.3,50,8.19,780.0336423,76,39,45.7,7.75,49557573.3,12.9
64.7,35,0.21,31.93187316,27,12074,13.4,5.82,2539449,9.3
64.3,0,5.27,10.8139134,96,0,23.4,1.4,15563,10
81,1,10.3,579.1331637,95,10,61.5,8.45,23948,20.3
73.3,0,0.01,565.9672173,8,0,74.8,5.18,15782,14.3
83,0,10.11,713.5297354,97,576,62.3,1.42,1147744,16.1
53.4,24,5.54,1.747440948,87,0,14.1,9.84,7423289,5.6
59.3,25,0.01,9.80407467,8,288,24.1,4.86,972916,10
82.2,1,2.62,4348.33531,97,6,64.6,7.81,82157,16
76,0,6.5,144.9850711,9,0,43,5.6,1334788,12.6
64.3,38,0.2,2.79096532,2,13344,12.9,5.48,2495623,9.2
73,0,0.01,414.0242418,97,0,3.5,4.76,526437,13.5
64.7,0,5.46,47.08931143,75,0,24,7.84,159328,10.2
62.6,58,1.84,165.9304977,93,190,2.7,5.57,44826849,11.1
81.3,2,8.37,5228.821581,97,321,59.4,8.48,5843831,16.1
47.1,38,1.18,6.847033785,99,1,16.2,8.99,13429262,9.6
56.7,87,0.01,11.08905273,65,798,13.4,8.82,2364851,6.5
79.3,0,8.84,2380.699796,86,1,65.6,8.93,4538,14.8
80,2,9.25,2883.334911,95,9385,56.4,8.23,57597,15.2
78.6,0,12.4,3582.848308,44,0,5.6,1.12,842293,15.5
65.6,20,0.28,10.20659464,91,46,22.7,4.31,1373513,8.3
75.8,1,3.83,427.3054534,92,0,53.5,5.36,286287,12.8
72.8,0,1.24,471.8307668,82,0,72.7,4.59,14137,14.4
77.7,0,12.39,1899.107385,96,0,62.5,7.83,4255689,14.9
84,1,2.23,33.58620657,96,9,61.1,7.38,7537,15.7
81.6,2,9.99,5047.254058,96,41,62.9,9.52,46362946,16.3
52.6,32,2.08,10.85148218,8,535,19.2,4.37,12725974,11.1
72.7,3,6.14,34.73924576,87,0,44.9,7.6,647117,11.9
72,81,6.85,186.6090485,96,0,46.9,7.7,184738458,14
74.2,1,3.64,25.62349238,92,0,48.1,4.87,2775467,12.5
65.6,0,7.56,536.2332523,93,0,43.2,6.8,7491,10.3
67.8,7,0.55,42.41491183,51,1978,43.6,6.56,82341,10.8
69.7,7,5.71,289.7418649,87,0,48.2,4.26,9237566,12.6
62,42,7.38,922.0507313,8,66,5.3,8.8,54146734.74,13
79.7,0,11.75,267.051312,87,0,57.9,6.8,479993,13.5
77,0,5.97,417.9117441,95,0,61.8,8.55,3385624,15.5
72.8,0,12.66,1758.822757,95,7,6.5,6.86,328115,16.7
61.4,49,0.01,3.304039899,68,1142,18.9,5.82,19148219,5.3
81.9,0,7.3,1212.666327,67,51,58.5,11.97,96379,15.8
73.8,0,5.38,595.7306923,9,0,56.5,8.1,61525,13.2
69.9,3,3.1,400.1342971,94,0,47.8,7.61,5971535,12
63.3,32,1.03,76.60442169,7,1,18,4.86,2115164,10.2
74.5,1,1.67,69.13924862,81,24,62.5,8.7,411147,13.1
78,1,4.15,1185.412346,88,0,51.4,7.82,438794,12.6
62,1,0.49,171.7686449,88,143,31.3,8.5,822934,5
67,27,0.21,70.27113179,82,2089,15.4,6.44,26475859,10.1
75.4,1,5.11,160.8400141,91,0,57,6.52,3325637,15
79.1,0,12.01,239.6409938,93,1,56.8,6.89,181563,13.7
79.2,1,3.34,2568.237059,91,0,57.5,9.56,4654122,13.6
57.3,53,0.01,36.86104319,69,221,22.5,6.58,16477818,8
75.1,7,3.87,282.1440066,91,0,5,5.58,14691275,13.1
78.7,0,12.5,3979.057728,81,0,51.2,1.27,881957,16.1
59.7,7,0.97,10.60269773,94,128,14.3,3.3,466648,5.3
69.1,6,1.56,15.35342268,62,35,16.1,4.28,19228,12.8
73.4,2,9,983.2518091,98,193,56.9,5.83,2246871,15.8
73.1,1,3.48,155.5884677,36,0,44.5,4.56,2712511,11.9
72.7,0,0.01,177.2633961,99,0,34.8,4.8,8833,13.5
62.2,8,0.01,79.27658464,75,234,28.1,2.87,3717672,7.7
65.3,1,7.93,16.47949015,9,0,37.8,5.97,751857,11.1
74.2,1,5.31,3.3021542,98,68,5.8,5.86,2992547,11.4
46,2,6.41,6.3300072,88,7,31.1,6.47,1779953,11.9
72.4,0,4.45,339.9777364,98,0,26.8,4.24,496963,12.4
72,0,3,21.2543002,89,0,65.6,5.31,17461,12.1
56.3,4,2.55,47.12969266,8,0,22.5,6.81,1517448,8.9
71.4,2,2.55,416.4338399,91,0,52.1,6.83,6137276,12.8
76.2,1,5.72,631.1251711,88,0,51.1,7,339195,12.9
51.8,46,0.62,57.8242709,4,120,17.9,3,1275135,7.3
68.8,18,0.01,16.71406295,99,0,42.2,6.49,297745,12
73.2,1,1.98,70.13207838,77,36,59.1,1.5,3522837,15.2
64.2,61,0.28,4.632776304,75,760,17,1.78,48846474,8
61.9,38,0.01,28.66897829,9,319,27.3,4.63,26346251,11.5
51.2,78,1.2,58.59644487,75,183,18.9,6.51,21547463,7.9
63.8,14,8.34,9.074569426,97,31,18.9,7.71,151671,10.2
73.9,1,8.14,198.94876,89,64,52.8,9.38,3875,13.3
72.2,0,1.8,423.2953509,9,0,68.6,4.87,146,14.6
69.4,0,6.66,582.8027185,98,0,48.5,5.45,33671,12.5
73.7,4,2.29,127.6377505,98,44,17.9,3.76,19668,13.2
71.5,0,4.38,70.15536981,92,0,25.8,3.87,1196287,12.2
52.7,505,8.54,204.7186256,42,6447,23.5,3.3,167297284,9.7
65,0,0.76,18.19457876,88,0,72.8,1.93,9426,12.1
59,40,4.64,88.97040214,88,375,18.2,5.91,1772723,7.5
44.5,5,2.67,57.90369752,87,0,27.4,6.3,1949543,10.7
71.9,3,7.68,615.4030781,98,5043,53.9,5.47,21319685,13.4
58.9,11,0.73,62.56273841,57,7135,37.5,3.98,5572222,6.2
79.1,2,7.93,177.4925143,92,0,6.6,6.97,16993354,15.2
89,3,12.2,64.73714894,42,39,58.6,1.45,6416229,16.1
69.2,14,2.35,41.50845637,87,0,43.8,6.79,139628,9.6
79.5,1,3.45,384.5129138,91,1,59.5,9.31,4757575,13.9
81,2,11.2,7584.078579,88,780,59.9,11.25,8177693,16.7
72.6,1,2.86,53.19373012,69,69,47.4,5.94,35655,11.1
75.2,1,3.58,33.17529686,92,1,51.2,5.21,2829493,12.8
81,2,11.96,3715.370095,97,26,59.9,8.5,42921895,15.6
81.1,3,11.8,6415.35735,51,1541,59.6,11.28,647744,16
54.3,47,4.73,64.24025208,76,125,14.6,6.58,13829177,4.7
68.3,0,0.23,289.8524057,95,10,21.1,4.73,7451,11.9
54,23,0.01,1.321464076,92,15,23.3,11.59,692279,9.3
54.8,64,1.19,49.90987221,76,145,21.3,5.58,2567666,9.2
86,0,11.36,2267.252192,94,0,59.2,7.68,56953,13.7
69.1,0,2.25,62.08343533,99,0,58.7,4.23,85995,14.6
73,118,0.01,62.34988484,96,5625,15.8,3.16,153911916,9.4
65.1,21,10.47,2.642527148,43,2072,54.2,5.67,14597683,12.5
80,0,10.55,2159.756205,96,1,58.7,7.44,113562,13.8
72.2,1,10.39,508.6304588,96,1,6.3,6.67,76122,13.5
83,0,7.91,278.0687051,75,0,67.6,8.3,41458,14.6
81,0,7.67,343.123395,93,0,68.4,9.95,419455,14.1
56,52,7.38,365.2585722,72,1166,4.9,8.31,45312937,13
81.9,1,9.78,578.7417172,97,302,63.5,9.56,46576897,16.4
63.9,64,0.28,2.793843188,62,314,16.4,1.83,48482614,7.9
58.1,42,4.51,85.55592906,91,860,17.1,5.17,168194,6.7
53.8,70,1.18,39.75216936,74,60,2.1,5.43,2352463,9.2
64.9,0,0.6,111.7392134,5,0,72.1,1.6,92325,12.2
68.2,1,12.05,42.33443901,99,2,56.2,6.59,973146,14.1
76.8,0,4.61,693.8226461,92,22,54.2,9.94,36482,13.9
78,6,2.1,22.48638351,74,0,47.3,5.85,8947243,11.6
73.9,1,4.09,260.9963826,95,0,51.9,3.71,2875581,12.7
65.1,2,0.01,662.802194,95,1,37.3,5.41,2168573,12.6
67.6,1000,3.11,67.67230438,7,13822,17.5,4.53,127856227,11.5
82.3,1,10.03,11714.99858,91,199,65,9.36,22728254,20.1
69.1,6,6.82,235.3566066,95,55,5.6,4.32,16791425,14.7
64.3,0,0.6,59.97185848,85,0,68.8,9,85858,10.4
69.3,0,4.52,72.800168,84,0,51.8,6.22,5437,11.5
68.5,129,0.08,254.4688257,83,15489,24.7,2.9,248883232,12.6
75.5,1,5.52,58.45976019,98,0,48.6,7.6,329174,12.8
82,2,6.98,5439.691769,96,5189,61.5,9.27,59379449,16.4
49.5,90,2.09,37.82511936,25,7085,16.9,5.64,18588758,5.8
63.2,1,0.01,73.86584922,88,0,23.7,6.75,759385,11.1
72.8,0,2.83,624.2361828,99,15,3.2,4.97,1247429,13.8
72.7,1,3.03,7.341493148,93,4,48.1,5.56,31786,10.8
71.7,10,1.88,657.5282797,73,0,49.9,6.2,15923559,10.7
67.9,1,0.28,244.0391949,91,21,2.3,5.17,727641,11.4
59.9,64,0.01,73.52358168,62,492,18.6,8.18,327582,10
78,3,12.91,4238.540035,84,0,55.1,1.1,8221158,16.2
75,0,6.45,489.6818699,87,0,58.5,6.7,618294,14.6
56.9,2,6.21,512.5887995,93,1,33.7,4.71,1914414,12.1
75.3,1,5.61,36.62206845,99,0,52.6,5.87,2947314,12
67.8,1,0.01,253.8285861,99,0,49.2,4.22,2814226,14.7
59.6,20,6.78,7.409771603,97,26,16.5,8.49,944742,10.1
72,1,11.19,32.38616103,96,0,58.6,7.43,7775327,12.9
72.8,20,0.56,183.6592186,98,633,53.6,5.86,3249639,10.7
65.9,2,3.79,126.698109,98,12,43.9,5.6,259167,13
72,33,1.35,1.132766775,77,8927,56.8,5.37,677855,12
72,0,3.52,40.22855669,35,0,7.3,4.68,18194,12.7
